"Time / Date",Username,Action,"List of Data Changes OR Fields Exported",Record
"2026-06-15 02:40",iruomalove@gmail.com,"Manage/Design ","Download events",
"2026-06-15 02:34",iruomalove@gmail.com,"Manage/Design ","Download data dictionary",
"2026-06-15 02:33",iruomalove@gmail.com,"Manage/Design ","Checked off item in project checklist",
"2026-06-15 02:33",iruomalove@gmail.com,"Manage/Design ","Checked off item in project checklist",
"2026-06-15 02:33",iruomalove@gmail.com,"Manage/Design ","Checked off item in project checklist",
"2026-06-15 02:33",iruomalove@gmail.com,"Manage/Design ","Checked off item in project checklist",
"2026-06-10 14:37",iruomalove@gmail.com,"Manage/Design ","Download instrument ZIP file",
"2026-06-08 11:33",iruomalove@gmail.com,"Manage/Design ","Download instrument-event mappings",
"2026-06-08 11:24",iruomalove@gmail.com,"Manage/Design ","Download instrument ZIP file",
"2026-06-04 08:42",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-04 08:22",iruomalove@gmail.com,"Manage/Design ","Download instrument ZIP file",
"2026-06-03 09:57",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-06-03 09:56",iruomalove@gmail.com,"Update record 3 (PK T+30min)","d5_safety_labs_and_vitals_complete = '0', site_id = '3'",3
"2026-06-03 09:51",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-06-03 09:40",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:40",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:39",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:39",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:39",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:39",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:39",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:38",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:38",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:38",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:38",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:38",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:37",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:37",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:37",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:37",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:37",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:33",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-03 09:26",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-06-03 09:26",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-06-03 09:25",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-06-03 09:24",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-06-03 09:20",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-06-02 04:56",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-06-02 04:53",iruomalove@gmail.com,"Update record 6 (PK T+48h)","d5_safety_labs_and_vitals_complete = '0', site_id = '6'",6
"2026-06-02 04:52",iruomalove@gmail.com,"Update record 6 (PK T+24h)","d5_safety_labs_and_vitals_complete = '0', site_id = '6'",6
"2026-06-02 04:51",iruomalove@gmail.com,"Update record 6 (PK T+8h)",,6
"2026-06-02 04:51",iruomalove@gmail.com,"Update record 6 (PK T+8h)",,6
"2026-06-02 04:50",iruomalove@gmail.com,"Update record 6 (PK T+8h)","d5_safety_labs_and_vitals_complete = '0', site_id = '6'",6
"2026-06-02 04:50",iruomalove@gmail.com,"Update record 6 (PK T+4h)","d5_safety_labs_and_vitals_complete = '0', site_id = '6'",6
"2026-06-02 04:50",iruomalove@gmail.com,"Update record 6 (PK T+2h)","d5_safety_labs_and_vitals_complete = '0', site_id = '6'",6
"2026-06-02 04:50",iruomalove@gmail.com,"Update record 6 (PK T+1h)","d5_safety_labs_and_vitals_complete = '0', site_id = '6'",6
"2026-06-02 04:49",iruomalove@gmail.com,"Update record 6 (PK T+30min)","d5_safety_labs_and_vitals_complete = '0', site_id = '6'",6
"2026-06-02 04:44",iruomalove@gmail.com,"Update record 6 (Day 0 - Dosing)","d5_safety_labs_and_vitals_complete = '0', site_id = '6'",6
"2026-06-02 04:43",iruomalove@gmail.com,"Create record 6 (Screening)","d5_safety_labs_and_vitals_complete = '0', site_id = '6'",6
"2026-05-28 11:33",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-28 11:29",iruomalove@gmail.com,"Manage/Design ","Download instrument ZIP file",
"2026-05-28 11:27",iruomalove@gmail.com,"Manage/Design ","Download data entry form as PDF",
"2026-05-28 10:57",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-28 10:55",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-28 10:53",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-28 10:53",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 14:09",iruomalove@gmail.com,"Manage/Design ","Perform instrument-event mappings",
"2026-05-27 14:06",iruomalove@gmail.com,"Manage/Design ","Edit event (Event: Screening, Days Offset: 1, Offset Range: -0/+0)",
"2026-05-27 14:01",iruomalove@gmail.com,"Manage/Design ","Create event (Event: SRC Review, Days Offset: 11, Offset Range: -0/+0)",
"2026-05-27 11:32",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 11:31",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-05-27 11:31",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-05-27 11:29",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-05-27 11:28",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-05-27 11:26",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 11:26",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-05-27 11:26",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 11:24",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 11:21",iruomalove@gmail.com,"Manage/Design ","Move project field",
"2026-05-27 11:03",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 11:01",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 11:00",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 10:59",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 10:58",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 10:58",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 10:57",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 10:57",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 10:56",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 10:55",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 10:54",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 10:51",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 10:50",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-05-27 10:49",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 10:40",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 10:40",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 10:39",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 10:38",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 10:34",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 10:33",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 10:30",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 10:28",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 10:28",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 10:26",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 10:24",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 10:19",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 10:19",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 10:18",iruomalove@gmail.com,"Manage/Design ","Create data collection instrument",
"2026-05-27 10:16",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 10:12",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-27 10:12",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-27 10:12",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-27 10:11",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-27 10:11",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-27 10:11",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-27 10:11",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-27 10:11",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-27 10:11",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-27 10:11",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-27 10:10",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-27 10:10",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-27 10:10",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-27 10:10",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-27 10:10",iruomalove@gmail.com,"Manage/Design ","Delete section header",
"2026-05-27 10:09",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-27 10:09",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-27 10:05",iruomalove@gmail.com,"Manage/Design ","Rename data collection instrument",
"2026-05-25 07:42",iruomalove@gmail.com,"Manage/Design ","Edit project field",
